model,mean_test_score,std_test_score,mean_train_score,std_train_score,rank_test_score,params
LogisticRegression,0.9450619567839196,0.007389021210437254,0.9555949999050943,0.000796767422848282,1,"{'clf__C': 0.01, 'clf__penalty': 'l1'}"
LogisticRegression,0.9448065019894758,0.009531429488601266,0.9617998597336715,0.00038910678691174633,2,"{'clf__C': 1.0, 'clf__penalty': 'l1'}"
LogisticRegression,0.9447895276631139,0.009528984563007884,0.9618019814794441,0.00038303737967541564,3,"{'clf__C': 1.0, 'clf__penalty': 'l2'}"
LogisticRegression,0.9438678672363,0.010007947231661188,0.9616996369753912,0.0004055439859188582,4,"{'clf__C': 0.1, 'clf__penalty': 'l2'}"
LogisticRegression,0.9437914881700664,0.009616029780831075,0.9615568470871461,0.000558149099478602,5,"{'clf__C': 0.1, 'clf__penalty': 'l1'}"
LogisticRegression,0.9437490527143211,0.010875558124310269,0.960174328374887,0.000622988416596039,6,"{'clf__C': 0.01, 'clf__penalty': 'l2'}"
RandomForest,0.9442082110532132,0.00832822502030557,0.9851606597289205,0.0006935824902814515,1,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__n_estimators': 600}"
RandomForest,0.9433035256730807,0.007639636124767964,0.9850245000472299,0.0010107602098458342,2,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__n_estimators': 300}"
RandomForest,0.941120312388934,0.00797688842997439,0.9856721451159158,0.00047555895327445124,3,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}"
RandomForest,0.94064376816084,0.01085441123243627,0.9869791507922324,0.00041904984560028435,4,"{'clf__max_depth': 10, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 300}"
RandomForest,0.940499492509478,0.01103230780507927,0.9869473246956805,0.00030701654941269163,5,"{'clf__max_depth': 10, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 600}"
RandomForest,0.9401922790558561,0.0071434613914319175,0.985735797264003,0.0004470342862109475,6,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}"
RandomForest,0.9386519395404193,0.010026765749194684,0.9869732873873194,0.0003392496701372324,7,"{'clf__max_depth': 10, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 300}"
RandomForest,0.9382674977573979,0.010561200570554803,0.9871053351617418,0.00021037502150669863,8,"{'clf__max_depth': 10, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 600}"
RandomForest,0.9381787975102192,0.006510587359068257,0.9866236998167611,0.0003798328002503425,9,"{'clf__max_depth': 10, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}"
RandomForest,0.9373441204510143,0.006655438170342302,0.9865961173918223,0.0003780308296737078,10,"{'clf__max_depth': 10, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}"
RandomForest,0.9364637150939089,0.009296295667230597,0.9948712615493548,0.00023938547136604505,11,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__n_estimators': 600}"
RandomForest,0.9360453203362471,0.00981531147197609,0.9949158179404731,0.0002590573607405874,12,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__n_estimators': 600}"
RandomForest,0.9355924687670438,0.007932281486470037,0.985723568801841,0.0002648327088319233,13,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}"
RandomForest,0.9350897112567094,0.009919283913113744,0.9947710391962282,0.0002605565593349425,14,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__n_estimators': 300}"
RandomForest,0.935047277241603,0.010585778290015184,0.9946326251941124,0.000438953381408479,15,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__n_estimators': 300}"
RandomForest,0.9346517201171105,0.008495429089911525,0.9858386430602548,0.00019698507276030117,16,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}"
RandomForest,0.9339294846736206,0.011593493269264695,0.9863563619202222,0.0003132476851263149,17,"{'clf__max_depth': 10, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}"
RandomForest,0.9334856309475338,0.00990164718404668,0.9863351440573442,0.0003331317148880185,18,"{'clf__max_depth': 10, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}"
RandomForest,0.9323174329234355,0.009492842616671462,0.9865494391198801,0.00032693727272144717,19,"{'clf__max_depth': 10, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}"
RandomForest,0.9318417415601044,0.009833809563114363,0.9865961171667367,0.00033629694770944313,20,"{'clf__max_depth': 10, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}"
RandomForest,0.930905225025602,0.012884628250550418,0.9864348655234257,0.00034108258560474215,21,"{'clf__max_depth': 10, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}"
RandomForest,0.9295418218881812,0.012300629286781155,0.9864030395169078,0.00029724006846233204,22,"{'clf__max_depth': 10, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}"
RandomForest,0.9261120273179365,0.010056896121772605,0.9959486031930588,0.00028434282130114074,23,"{'clf__max_depth': 20, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 300}"
RandomForest,0.9256872603743304,0.008286040291672618,0.9961957265764079,0.00010576732687177953,24,"{'clf__max_depth': 20, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 600}"
RandomForest,0.9253155572006433,0.009213865171394296,0.9960355944095912,0.000294435977145264,25,"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 300}"
RandomForest,0.9248886770805991,0.00893846447691713,0.9963124220086689,9.804054134356881e-05,26,"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 600}"
RandomForest,0.9199235081896487,0.009485384382594247,0.9964333607524063,7.834901724578083e-05,27,"{'clf__max_depth': 20, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 600}"
RandomForest,0.9191461298970716,0.00950346754306666,0.9965521778404053,0.00010241377903324469,28,"{'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 600}"
RandomForest,0.9184222037477685,0.010151226632097967,0.9960731518315917,0.00031652807243157235,29,"{'clf__max_depth': 20, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 300}"
RandomForest,0.917226431417849,0.008851508031930612,0.9961983333466005,0.0002721539993098214,30,"{'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 10, 'clf__n_estimators': 300}"
RandomForest,0.9076648437341838,0.009860737335879784,0.9976957939949113,0.0001263083899673198,31,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}"
RandomForest,0.9058045514354716,0.01134908696761571,0.9976788203888688,0.00012468853915402166,32,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}"
RandomForest,0.9021543947483222,0.011719818628012036,0.9972926645039889,0.00015668216243280465,33,"{'clf__max_depth': 20, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}"
RandomForest,0.9017317409811538,0.009228071060782807,0.9972438646663428,0.00014535199759425644,34,"{'clf__max_depth': 20, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}"
RandomForest,0.9017033289372766,0.013018594814040434,0.998173184812954,0.00010337623909483953,35,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}"
RandomForest,0.9002784050022686,0.013213606740042037,0.9981689415464945,0.00011632271599793752,36,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}"
RandomForest,0.9001943456550775,0.012556264473582622,0.9970422999884073,0.0002264660596140087,37,"{'clf__max_depth': 20, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}"
RandomForest,0.8983934616978339,0.010698039445098955,0.9970189608749449,0.0002803477123071868,38,"{'clf__max_depth': 20, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}"
RandomForest,0.8934719594162756,0.01496888446457442,0.9956440743412109,0.00015161412652532014,39,"{'clf__max_depth': 20, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}"
RandomForest,0.8933910034256719,0.01159972553428182,0.9986229928909379,8.628925577894967e-05,40,"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}"
RandomForest,0.8925672704345462,0.015412448097139242,0.9956822655850461,0.0001112687695960803,41,"{'clf__max_depth': 20, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}"
RandomForest,0.8901397372853145,0.01455435433845023,0.9986399667220661,8.732744392580082e-05,42,"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}"
RandomForest,0.8872176299852212,0.015016969510412355,0.9959368746275657,0.0001652919567220334,43,"{'clf__max_depth': 20, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}"
RandomForest,0.8867483122484735,0.014171589314213846,0.9959135353790518,0.00017228346568298522,44,"{'clf__max_depth': 20, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}"
RandomForest,0.886121660175208,0.012745354364042514,0.9986993752435571,8.476543575645984e-05,45,"{'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}"
RandomForest,0.8856960040056168,0.013644229043432904,0.9971950646486285,0.00013986048403107976,46,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}"
RandomForest,0.8856896325399916,0.013365521365913327,0.9972226469835332,0.00019986655017566107,47,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}"
RandomForest,0.8851384789508072,0.013018041982538052,0.9987014972144148,8.581749754181362e-05,48,"{'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}"
RandomForest,0.8029242611444427,0.019840707023952266,1.0,0.0,49,"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}"
RandomForest,0.8013822496514968,0.02198159933975254,1.0,0.0,50,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}"
RandomForest,0.8013673885015727,0.02303059343872284,1.0,0.0,51,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}"
RandomForest,0.8010788314362933,0.016538271544337624,1.0,0.0,52,"{'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}"
RandomForest,0.8006943838907169,0.013960853702187798,1.0,0.0,53,"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}"
RandomForest,0.7988150048095243,0.017302624706443354,1.0,0.0,54,"{'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}"
XGBoost,0.9608040392262953,0.008529478578245939,0.9876221408058555,0.0007563495979305317,1,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__subsample': 1.0}"
XGBoost,0.9602507419650003,0.005208378404972018,0.9899854030355313,0.00035911675147715544,2,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__subsample': 0.8}"
XGBoost,0.959615910198786,0.005712911356579447,0.9898665865777716,0.0003993030751718914,3,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__subsample': 0.8}"
XGBoost,0.9582978934316042,0.008198314607950037,0.9877836288171453,0.0004325730419658864,4,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__subsample': 1.0}"
XGBoost,0.9508860900632896,0.00903770332408347,0.9949799712006909,0.00014566214290236904,5,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__subsample': 1.0}"
XGBoost,0.9507240386057376,0.005082510127732084,0.9954106837017743,0.00013511555493139955,6,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__subsample': 0.8}"
XGBoost,0.9493988424102279,0.007865750617552621,0.9954934313367281,9.060440569379039e-05,7,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__subsample': 0.8}"
XGBoost,0.949324568596919,0.009622468365903473,0.995580423318551,0.00015883239132476431,8,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__subsample': 0.8}"
XGBoost,0.9491212715368047,0.00868145706201731,0.9949672406360224,0.0001683472586115521,9,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__subsample': 1.0}"
XGBoost,0.9483159298447317,0.008452271095908964,0.9956143707557217,0.0001287931932852613,10,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__subsample': 0.8}"
XGBoost,0.9480422048743424,0.008237420677985486,0.9950987880185875,0.00015182122471771198,11,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__subsample': 1.0}"
XGBoost,0.9459294130175964,0.009909024490268613,0.995069083217637,0.0001000855729185487,12,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__subsample': 1.0}"
XGBoost,0.9379188151183762,0.01125078820417232,0.998050123288051,9.087657347994729e-05,13,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__n_estimators': 300, 'clf__subsample': 1.0}"
XGBoost,0.9366042340290328,0.008046865128958629,0.9982474442493562,0.0001733451066667469,14,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__n_estimators': 300, 'clf__subsample': 0.8}"
XGBoost,0.9359948612312439,0.012620936164294414,0.9980501235581535,4.71720596262844e-05,15,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__n_estimators': 300, 'clf__subsample': 1.0}"
XGBoost,0.9359032297604536,0.01099582223402719,0.9983174621299487,0.00010277703313973924,16,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__n_estimators': 300, 'clf__subsample': 0.8}"
XGBoost,0.9355756585108799,0.01282373198428411,0.9990155137430324,5.709652363971726e-05,17,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__subsample': 0.8}"
XGBoost,0.9349662871537294,0.014472631030169934,0.998911548335235,8.917109529166168e-05,18,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__subsample': 1.0}"
XGBoost,0.9330911358660512,0.014039390665507842,0.9988457747114781,7.807979984030003e-05,19,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__subsample': 1.0}"
XGBoost,0.9319017371627151,0.015324884186224566,0.9990940182915949,7.75538649290593e-05,20,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__subsample': 0.8}"
XGBoost,0.9247037336206707,0.014041075851355958,0.9999554434738304,2.057117206552276e-05,21,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__subsample': 0.8}"
XGBoost,0.9246952432160527,0.016729491122035693,0.9999745391407651,5.197268021565649e-06,22,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__subsample': 0.8}"
XGBoost,0.9242513916509238,0.01752151329329769,0.9999618086661306,1.7237232800252557e-05,23,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 300, 'clf__subsample': 0.8}"
XGBoost,0.9237438676925844,0.01607056308116192,0.9999236173322613,2.2654315483516878e-05,24,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__subsample': 1.0}"
XGBoost,0.923327588992638,0.015320033426657376,0.99996393045692,1.0818876071152746e-05,25,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 300, 'clf__subsample': 0.8}"
XGBoost,0.921431232703806,0.016975418253886952,0.999910887037695,1.4390486185048302e-05,26,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__subsample': 1.0}"
XGBoost,0.9210001262308859,0.016797896888511684,0.9999172521849783,2.8780939152301817e-05,27,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 300, 'clf__subsample': 1.0}"
XGBoost,0.9183259727804485,0.01683436743362341,1.0,0.0,28,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__subsample': 1.0}"
XGBoost,0.9178332729934857,0.017821325318167592,1.0,0.0,29,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__subsample': 0.8}"
XGBoost,0.9177106481063815,0.019395248418855864,0.9999342260611235,1.8252177528200146e-05,30,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 300, 'clf__subsample': 1.0}"
XGBoost,0.917372444941037,0.017164895025622715,1.0,0.0,31,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__subsample': 0.8}"
XGBoost,0.9151001307909272,0.017285668271426857,1.0,0.0,32,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__subsample': 1.0}"
